group,config,method,epoch,trainable_params,pct_of_qwen,train_loss,eval_loss,distinct_1,distinct_2,distinct_2_tok,self_distinct_2,combined_distinct_2,bertscore_post_P,bertscore_post_F1,bertscore_ref_F1,ppl_comments,ppl_wiki,len_mean,comb_dist_per_len,judge_acc,judge_correct,judge_total
baseline,rugpt3_base,rugpt3_base,,0,0.0,,,0.479,0.867,0.644,0.851,0.548,,,,191.65,22.6,36.2812,0.548,0.5760869565217391,53,92
baseline,qwen_base,qwen_base,,0,0.0,,,0.57,0.911,0.723,0.934,0.675,,,,40.86,11.28,25.6804,0.675,0.7032967032967034,64,91
full FT,rugpt3_ft_ep1,rugpt3_ft_ep1,,,,,,0.424,0.84,0.716,0.978,0.7,,,,64.86,38.83,15.92,0.5436,0.3125,30,96
full FT,rugpt3_ft_ep3,rugpt3_ft_ep3,,,,,,0.487,0.887,0.744,0.96,0.714,,,,77.67,51.54,15.82,0.551,0.2604166666666667,25,96
full FT,qwen_ft_ep2,qwen_ft_ep2,,494032768,100.0,,,0.571,0.9,0.7,0.941,0.659,,,,38.19,67.93,12.5455,0.4033,0.5157894736842106,49,95
full FT,qwen_ft_ep3,qwen_ft_ep3,,494032768,100.0,,,0.602,0.943,0.775,0.96,0.744,,,,75.39,105.44,14.0505,0.5099,0.5368421052631579,51,95
LoRA (old),lora_r8_ep3,lora_r8_ep3,,540672,0.1094,,,0.506,0.888,0.755,0.972,0.733,,,,25.16,35.23,12.5657,0.4493,,,
LoRA (old),lora_r8_ep8,lora_r8_ep8,,540672,0.1094,,,0.505,0.891,0.737,0.968,0.713,,,,25.53,49.3,13.3434,0.4641,,,
LoRA (old),lora_r16_ep2,lora_r16_ep2,,1081344,0.2189,,,0.504,0.894,0.765,0.974,0.745,,,,24.93,28.75,14.9898,0.5448,,,
LoRA (old),lora_r16_ep8,lora_r16_ep8,,1081344,0.2189,,,0.536,0.901,0.733,0.96,0.703,,,,27.09,78.12,11.6061,0.398,,,
LoRA (old),lora_r64_ep2,lora_r64_ep2,,4325376,0.8755,,,0.5,0.9,0.763,0.971,0.741,,,,24.75,34.71,15.3232,0.5539,,,
LoRA (old),lora_r64_ep8,lora_r64_ep8,,4325376,0.8755,,,0.536,0.914,0.725,0.95,0.689,,,,29.4,58.52,13.1313,0.4413,,,
PEFT,qwen_lora_r8_ep1,"LoRA r8 (q,v)",1,540672,0.1094,3.34187744140625,,0.5154038301415487,0.8801089918256131,0.7397708674304418,0.9725697673100949,0.7194787803996119,0.6379539370536804,0.5815651416778564,0.6075606346130371,26.55,13.56,11.6735,0.4442,0.5,47,94
PEFT,qwen_lora_r8_ep2,"LoRA r8 (q,v)",2,540672,0.1094,3.21904052734375,3.2746427059173584,0.5134099616858238,0.8947804473902237,0.7638724911452184,0.9669765746742824,0.7386468049755144,0.6367495059967041,0.5840773582458496,0.6151024699211121,25.24,17.22,13.5213,0.5131,0.5384615384615384,49,91
PEFT,qwen_lora_r8_ep3,"LoRA r8 (q,v)",3,540672,0.1094,3.1456962890625,3.223242998123169,0.5078125,0.8944954128440367,0.758546239654552,0.9761687005246522,0.7404690970514455,0.6414425373077393,0.5927963256835938,0.6216232180595398,25.02,28.01,14.2062,0.502,0.4946236559139785,46,93
PEFT,qwen_lora_r8_ep4,"LoRA r8 (q,v)",4,540672,0.1094,3.1178369140625,3.2086973190307617,0.5042016806722689,0.8891645988420182,0.7445226917057903,0.9717086030499195,0.7234591046963994,0.6354770660400391,0.5847631096839905,0.6154394745826721,24.76,29.6,12.2371,0.4336,0.4946236559139785,46,93
